2020-12-26 19:53:41 INFO  TestLogs:9 - It works
2020-12-26 19:59:59 INFO  TestLogs:14 - test
2020-12-26 20:11:01 INFO  ForwardRequestHelper:38 - User Logged out
2020-12-26 20:11:08 INFO  root:57 - splatinum has logged in
2020-12-26 20:11:10 INFO  ForwardRequestHelper:38 - User Logged out
2020-12-26 20:11:10 INFO  root:90 - splatinum has logged out
2020-12-26 20:11:14 INFO  root:57 - bubbleboy has logged in
2020-12-26 20:11:15 INFO  ReimbursementController:39 - Getting all reimbursements
2020-12-26 20:18:27 INFO  root:57 - splatinum has logged in
2020-12-26 20:19:11 INFO  root:57 - splatinum has logged in
2020-12-26 20:24:47 INFO  root:57 - splatinum has logged in
2020-12-26 20:24:52 INFO  root:57 - bubbleboy has logged in
2020-12-26 20:24:53 INFO  root:40 - Getting all reimbursements
2020-12-26 20:24:58 INFO  root:57 - mred has logged in
2020-12-26 20:26:53 INFO  root:57 - splatinum has logged in
2020-12-26 20:27:41 INFO  root:57 - bubbleboy has logged in
2020-12-26 20:27:42 INFO  root:40 - Getting all reimbursements
2020-12-26 20:27:51 INFO  root:40 - Getting all reimbursements
2020-12-26 20:29:08 INFO  root:57 - splatinum has logged in
2020-12-26 20:29:20 INFO  root:57 - splatinum has logged in
2020-12-26 20:32:08 INFO  root:57 - splatinum has logged in
2020-12-26 20:32:09 INFO  root:39 - User Logged out
2020-12-26 20:32:09 INFO  root:90 - user has logged out
2020-12-26 20:43:16 INFO  root:57 - splatinum has logged in
2020-12-26 20:44:08 INFO  root:57 - splatinum has logged in
2020-12-26 20:44:30 INFO  root:57 - splatinum has logged in
2020-12-26 20:47:51 INFO  root:56 - mred has logged in
2020-12-26 20:48:56 INFO  root:56 - splatinum has logged in
2020-12-26 20:49:53 INFO  root:40 - User Logged out
2020-12-26 20:50:00 INFO  root:56 - splatinum has logged in
2020-12-26 20:50:02 INFO  root:40 - User Logged out
2020-12-26 20:50:02 INFO  root:90 - splatinum has logged in
2020-12-26 20:51:04 INFO  root:56 - splatinum has logged in
2020-12-26 20:51:11 INFO  root:56 - bubbleboy has logged in
2020-12-26 20:51:12 INFO  root:40 - Getting all reimbursements
2020-12-26 20:52:03 INFO  root:56 - splatinum has logged in
2020-12-26 21:01:31 INFO  root:56 - splatinum has logged in
2020-12-26 21:01:43 INFO  root:56 - splatinum has logged in
2020-12-26 21:01:50 INFO  root:56 - splatinum has logged in
2020-12-26 21:03:19 INFO  root:40 - User Logged out
2020-12-26 21:03:19 INFO  root:90 - splatinum has logged out
2020-12-26 21:03:21 INFO  root:56 - splatinum has logged in
2020-12-26 21:03:38 INFO  root:40 - User Logged out
2020-12-26 21:03:38 INFO  root:90 - splatinum has logged out
2020-12-26 21:04:02 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:04:03 INFO  root:40 - Getting all reimbursements
2020-12-26 21:04:04 INFO  root:40 - User Logged out
2020-12-26 21:04:04 INFO  root:90 - bubbleboy has logged out
2020-12-26 21:04:13 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:04:13 INFO  root:40 - Getting all reimbursements
2020-12-26 21:04:14 INFO  root:40 - User Logged out
2020-12-26 21:04:14 INFO  root:90 - bubbleboy has logged out
2020-12-26 21:04:21 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:04:22 INFO  root:40 - Getting all reimbursements
2020-12-26 21:04:22 INFO  root:40 - User Logged out
2020-12-26 21:04:22 INFO  root:90 - bubbleboy has logged out
2020-12-26 21:07:44 INFO  root:56 - splatinum has logged in
2020-12-26 21:07:46 INFO  root:40 - User Logged out
2020-12-26 21:07:46 INFO  root:90 - splatinum has logged out
2020-12-26 21:08:05 INFO  root:56 - splatinum has logged in
2020-12-26 21:08:09 INFO  root:40 - User Logged out
2020-12-26 21:08:09 INFO  root:90 - splatinum has logged out
2020-12-26 21:08:19 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:08:19 INFO  root:40 - Getting all reimbursements
2020-12-26 21:08:22 INFO  root:40 - User Logged out
2020-12-26 21:08:22 INFO  root:90 - bubbleboy has logged out
2020-12-26 21:08:27 INFO  root:40 - User Logged out
2020-12-26 21:08:31 INFO  root:40 - User Logged out
2020-12-26 21:08:50 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:08:51 INFO  root:40 - Getting all reimbursements
2020-12-26 21:08:52 INFO  root:40 - User Logged out
2020-12-26 21:08:52 INFO  root:90 - bubbleboy has logged out
2020-12-26 21:09:07 INFO  root:56 - splatinum has logged in
2020-12-26 21:09:09 INFO  root:40 - User Logged out
2020-12-26 21:09:09 INFO  root:90 - splatinum has logged out
2020-12-26 21:09:13 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:09:14 INFO  root:40 - Getting all reimbursements
2020-12-26 21:09:15 INFO  root:40 - User Logged out
2020-12-26 21:09:15 INFO  root:90 - bubbleboy has logged out
2020-12-26 21:10:21 INFO  root:56 - splatinum has logged in
2020-12-26 21:10:22 INFO  root:40 - User Logged out
2020-12-26 21:10:22 INFO  root:90 - splatinum has logged out
2020-12-26 21:10:26 INFO  root:56 - nyohoho has logged in
2020-12-26 21:10:26 INFO  root:40 - Getting all reimbursements
2020-12-26 21:10:27 INFO  root:40 - User Logged out
2020-12-26 21:10:27 INFO  root:90 - nyohoho has logged out
2020-12-26 21:10:36 INFO  root:56 - splatinum has logged in
2020-12-26 21:10:37 INFO  root:40 - User Logged out
2020-12-26 21:10:37 INFO  root:90 - splatinum has logged out
2020-12-26 21:13:16 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:13:17 INFO  root:40 - Getting all reimbursements
2020-12-26 21:13:21 INFO  root:40 - Getting all reimbursements
2020-12-26 21:13:48 INFO  root:40 - Getting all reimbursements
2020-12-26 21:14:22 INFO  root:56 - splatinum has logged in
2020-12-26 21:14:33 INFO  root:55 - Added new reimbursement from:splatinum
2020-12-26 21:14:52 INFO  root:40 - User Logged out
2020-12-26 21:14:52 INFO  root:90 - splatinum has logged out
2020-12-26 21:14:58 INFO  root:56 - bubbleboy has logged in
2020-12-26 21:14:58 INFO  root:40 - Getting all reimbursements
2020-12-26 21:15:01 INFO  root:68 - Updated info of id26of reimbursement from:bubbleboy
2020-12-26 21:15:02 INFO  root:40 - Getting all reimbursements
2020-12-26 21:15:09 INFO  root:68 - Updated info of id16of reimbursement from:bubbleboy
2020-12-26 21:15:10 INFO  root:40 - Getting all reimbursements
2020-12-26 21:15:15 INFO  root:68 - Updated info of id17of reimbursement from:bubbleboy
2020-12-26 21:15:16 INFO  root:40 - Getting all reimbursements
2020-12-26 21:15:19 INFO  root:40 - User Logged out
2020-12-26 21:15:19 INFO  root:90 - bubbleboy has logged out
2020-12-27 14:34:50 INFO  root:56 - splatinum has logged in
2020-12-27 14:34:52 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:34:59 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:04 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:06 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:35:22 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:26 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:26 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:37:40 INFO  root:40 - User Logged out
2020-12-27 14:37:49 INFO  root:59 - splatinum has logged in
2020-12-27 14:37:50 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:37:54 INFO  root:59 - splatinum has logged in
2020-12-27 14:37:54 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:37:57 INFO  root:59 - splatinum has logged in
2020-12-27 14:37:59 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:38:05 INFO  root:40 - User Logged out
2020-12-27 14:38:05 INFO  root:96 - splatinum has logged out
